|srn|nl|keep_row
5033|So wan dei Anansi hori wan strei nanga Tigri.|Zo ' n dag hield Anansi een eenheid met <unk>|keep row: both source and target contain non numerical text!
5034|Den bo luku sortu wan fu den moro tranga noso koni.|Zij zouden een van de sterker of <unk> beschouwen|keep row: both source and target contain non numerical text!
5035|Den meki mofo fu a dei san den bo hori a strei.|Gemond van de dag waarop zij de natie zouden houden|keep row: both source and target contain non numerical text!
5036|Anansi taigi Tigri taki: Tigri, yu fosi musu naki.|Anansi zei tot <unk> zeggen: En gij moet eerst prediken|keep row: both source and target contain non numerical text!
5037|Tigri taki: Anansi, yu fosi kan naki.|<unk> zei: En gij eerst kunt prediken|keep row: both source and target contain non numerical text!
5038|Den taki go den taki kon.|Zij hebben tot <unk> gesproken|keep row: both source and target contain non numerical text!
5039|Tigri taki: A bun, Anansi.|<unk> zei: De situatie|keep row: both source and target contain non numerical text!
5040|Mi fosi sa naki.|Eerst zal ik prediken|keep row: both source and target contain non numerical text!
5041|A presi pe den bo hori a strei na wan pikin kamra.|De plaats waar zij de natie zouden houden , is een klein natie|keep row: both source and target contain non numerical text!
5042|Te yu go ini a kamra dati, dan yu mus sutu yu ede kon na doro.|Wanneer u de situatie binnengaat en dan moet je hoofd opsteken|keep row: both source and target contain non numerical text!
5043|Sofasi a trawan kan naki yu na yu ede.|En de ander kan u aan uw zijde slaan|keep row: both source and target contain non numerical text!
5044|Di Tigri bo naki Anansi, dan Anansi weri wan isri patu na en ede, sodati te Tigri o naki, a o kisi mankeri.|Toen <unk> zou slaan en dan vermoeid Anansi een dag aan zijn organisatie , zodat hij tot <unk> zal prediken|keep row: both source and target contain non numerical text!
5045|Tigri drai en kofu.|<unk> Keert zijn organisatie|keep row: both source and target contain non numerical text!
5046|A naki Anansi so bam!|Hij sloeg Anansi zo <unk>|keep row: both source and target contain non numerical text!
5047|Tigri dyompo go na loktu.|<unk> Eeuwig naar <unk>|keep row: both source and target contain non numerical text!
5048|A pisten di a luku en anu, en heri anu e brudu.|De situatie die hij toekijkt en zijn hele|keep row: both source and target contain non numerical text!
5049|Tigri aksi Anansi: Na yu ede nomo tranga so?|<unk> Vraag <unk> zelfzuchtig en sterk|keep row: both source and target contain non numerical text!
5050|Mi o kisi yu baka.|Ik zal uw organisatie ontvangen|keep row: both source and target contain non numerical text!
5051|A anu fu Tigri kisi so wan bigi mankeri dati a ben abi fu go didon na ati-oso.|De arm van <unk> kreeg zo ' n groot gebrek dat hij moest liggen|keep row: both source and target contain non numerical text!
5052|Ini ati-oso den ben gi en papa fu dringi, fu kisi krakti baka.|In <unk> werd zijn vader van <unk> gegeven om kracht te verwerven|keep row: both source and target contain non numerical text!
5053|Tigri didon ini ati-oso, ma a ben kuku fu atibron.|<unk> liggen in <unk> maar <unk>|keep row: both source and target contain non numerical text!
5054|Bika a sani di Anansi du nanga en hati en.|Want wat Anansi met zijn organisatie gedaan heeft.|keep row: both source and target contain non numerical text!
5055|A ben wani kiri Anansi nomonomo.|Hij wilde Anansi doden|keep row: both source and target contain non numerical text!
5056|En frow go luku en na ati-oso.|Zijn vrouw keek hem naar <unk>|keep row: both source and target contain non numerical text!
5057|En a frow warskow en fu no feti moro nanga Anansi.|En de vrouw waarschuwde hem niet meer tegen <unk> te strijden|keep row: both source and target contain non numerical text!
5058|Ma Tigri nanga en atibron no e yesi a sani san a frow ben e taki srefisrefi.|Maar <unk> en zijn woede gehoorzaamt niet de woorden van de vrouw <unk>|keep row: both source and target contain non numerical text!
5059|A taki: Mi o kiri Anansi nomo.|Hij zei: Ik zal Anansi doden|keep row: both source and target contain non numerical text!
5060|Ma Anansi ben sabi taki efu a naki Tigri, a o de soleki wan freifrei sidon na tapu en ede.|Anansi wist echter dat als hij slaat en het zal zijn zoals een natie op zijn organisatie zit|keep row: both source and target contain non numerical text!
5061|So Anansi dringi dresi wakti siki.|Zo drinkte Anansi medicijn en wacht|keep row: both source and target contain non numerical text!
5062|Anansi meki wan bun bigi mokro.|Anansi maakte een grote natie|keep row: both source and target contain non numerical text!
5063|A mokro ben hebi, sodati en wawan no ben man opo en.|De natie predikte zodat alleen hij hem niet kon open.|keep row: both source and target contain non numerical text!
5064|A kari en frow nanga en pikin fu kon yepi en opo a mokro.|Hij riep zijn vrouw en haar kinderen om haar te helpen|keep row: both source and target contain non numerical text!
5065|Di Tigri kmopo na ati-oso kon, a taigi Anansi taki a feti e go doro.|Toen <unk> <unk> in <unk> en zei hij tot Anansi dat de oorlog nadert|keep row: both source and target contain non numerical text!
5066|Tigri psa go ini a kamra.|En voorbijgaan in de situatie|keep row: both source and target contain non numerical text!
5067|A sutu en ede kon a doro.|Hij keek zijn hoofd op|keep row: both source and target contain non numerical text!
5068|Dan Anansi, en frow, nanga en pikin opo a mokro.|Dan en zijn organisatie en zijn kinderen open de natie|keep row: both source and target contain non numerical text!
5069|Den naki Tigri so baam!|Zij sloegen <unk> zo|keep row: both source and target contain non numerical text!
5070|Tigri bari: Aaauw!|<unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
5071|Mi mama.|Mijn organisatie|keep row: both source and target contain non numerical text!
5072|A kiri mi!|De dood <unk>|keep row: both source and target contain non numerical text!
5073|Tigri fadon nanga baka.|<unk> val met <unk>|keep row: both source and target contain non numerical text!
5074|A skopu nanga en futu.|De situatie met zijn organisatie|keep row: both source and target contain non numerical text!
5075|Tigri nanga ala en tranga dede.|<unk> Met al zijn sterke natie|keep row: both source and target contain non numerical text!
5076|Wan dei wan ontiman di den ben kari Lodi, ben teki en gon fu go ini busi go sutu meti.|Op een dag een dag dat werd genoemd en zijn geweer aanvaardde om in <unk> te gaan en te steken|keep row: both source and target contain non numerical text!
5077|Lodi ben de wan bun ontiman, di ben sutu grontapu.|<unk> was een nuttige natie|keep row: both source and target contain non numerical text!
5078|Te Lodi sutu a no abi misi.|Wanneer <unk> het niet heeft|keep row: both source and target contain non numerical text!
5079|Lodi ben libi ini a pranasi Sabaku ini Para.|<unk> leefde in de natie <unk>|keep row: both source and target contain non numerical text!
5080|Fruku mamanten Lodi lai en boto fu go na ontibusi.|<unk> En last hem en ga naar <unk>|keep row: both source and target contain non numerical text!
5081|Lodi frow nanga pikin bigin fu poti watra na faya fu krin meti.|<unk> vrouw en kinderen begonnen het vuur van rein te zetten|keep row: both source and target contain non numerical text!
5082|Ala sma ini a pranasi e taki fu a fasi fa Lodi e sutu gon.|Allen in de situatie spreken over <unk> ' opschakeling|keep row: both source and target contain non numerical text!
5083|No wan man ben de ini a pranasi di ben kan tnapu na sei Lodi.|Er was geen man in de situatie die naast <unk> kon prediken|keep row: both source and target contain non numerical text!
5084|Di Lodi doro ini a busi, a fosi meti di a sutu na Konkoni.|Toen <unk> in de natie <unk> het eerste beest dat hij in <unk>|keep row: both source and target contain non numerical text!
5085|Heri dei Lodi sutu meti.|<unk> dag en schoot <unk>|keep row: both source and target contain non numerical text!
5086|A sutu srefisrefi.|Hij schiep <unk>|keep row: both source and target contain non numerical text!
5087|Ete wan pikinso dan yu kan taki dat a sutu ala den meti fu a busi kiri.|En een beetje kan er gezegd worden dat hij alle dieren van de natie <unk> heeft geschoten|keep row: both source and target contain non numerical text!
5088|Ma now Tigri di ben de kownu fu den meti, luku a sani go a luku a sani kon.|Maar nu en die koning van hen waren en beschouwde het vooruitzicht|keep row: both source and target contain non numerical text!
5089|A taki: Mi na kownu fu a busi nanga den meti.|Hij zei: Ik ben koning van de natie en de <unk>|keep row: both source and target contain non numerical text!
5090|Stimofo san mi no e feni, na dati Lodi e feni.|En wat ik niet predikt en predikt|keep row: both source and target contain non numerical text!
5091|Mi sabi san mi o du nanga en.|Ik weet wat ik met hem zal doen.|keep row: both source and target contain non numerical text!
5092|A no sa onti noiti moro ini mi busi.|Hij zal nooit meer in mijn organisatie prediken|keep row: both source and target contain non numerical text!
5093|A pisten san Tigri e broko en ede nanga Lodi, a sutu psa tinafeifi meti kba.|De situatie die <unk> zich om <unk> bekommert , is voorbijgegaan en dierlijk geschoten|keep row: both source and target contain non numerical text!
5094|Di Lodi sutu den meti, a tyari den go na fesisei fu a busi pasi.|Toen <unk> hen opsteekt en hen naar de natie <unk> bracht|keep row: both source and target contain non numerical text!
5095|Tigri kisi boskopu fu mati Powisi taki Lodi de baka ini a busi.|<unk> boodschap van vrienden ontvangen en herhaaldelijk|keep row: both source and target contain non numerical text!
5096|Wantewante Tigri teki pasi fu go suku Lodi.|<unk> Neem weg om <unk> te zoeken|keep row: both source and target contain non numerical text!
5097|Di Lodi ben wani go kari wantu man fu kon yepi en nanga den meti, a miti nanga Tigri.|Toen <unk> enkele mannen wilde noemen om hem met hen te helpen en te contact met|keep row: both source and target contain non numerical text!
5098|Tigri taki: Lodi, yu e sutu ala den meti ini mi busi.|<unk> zei: En gij steelt alle dieren in mijn organisatie|keep row: both source and target contain non numerical text!
5099|San na den meti di yu kiri tide?|Wat uw doden en dieren zijn|keep row: both source and target contain non numerical text!
5100|Yu mu kari den na nen gi mi!|Gij moet hen de naam voor <unk> noemen|keep row: both source and target contain non numerical text!
5101|Lodi tnapu nanga bigi ai.|<unk> Met grote omstandigheden|keep row: both source and target contain non numerical text!
5102|Ai beifi leki wan blad.|<unk> als een natie|keep row: both source and target contain non numerical text!
5103|Tigri singi wan singi gi Lodi.|<unk> Een lied voor <unk>|keep row: both source and target contain non numerical text!
5104|A singi: Serenamu namu namu, serenamu namu namu.|De natie <unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
5105|Yu mu kari den buba nem nem nem.|U moet de <unk> <unk> <unk> noemen|keep row: both source and target contain non numerical text!
5106|Lodi e beifi.|<unk> prediken|keep row: both source and target contain non numerical text!
5107|A bigin taki: Disi na Konikoni; disi na.|Hij begon te zeggen: Dit is <unk>|keep row: both source and target contain non numerical text!
5108|A kari ala den meti nen te leki a doro na tigrimeti srefi.|Hij noemde alle dieren tot de natie <unk>|keep row: both source and target contain non numerical text!
5109|Ma now Lodi sabi dati efu a kari tigrimeti, ai go dede.|Maar nu en weet dat als hij <unk> uitnodigt|keep row: both source and target contain non numerical text!
5110|Dat'ede a kibri a tigri buba.|En het bewaren van de natie|keep row: both source and target contain non numerical text!
5111|Ma poti fu Lodi, Tigri si en.|Maar zet hem voor eeuwig te zien.|keep row: both source and target contain non numerical text!
5112|Tigri singi ete wan leisi.|<unk> lied nog een natie|keep row: both source and target contain non numerical text!
5113|Lodi taki: Mi kba fu kari den buba nen.|<unk> zei: Ik ben klaar om de <unk> te noemen|keep row: both source and target contain non numerical text!
5114|Dan Tigri taki: We, efu yu kba fu kari den buba nen, mi sa kari yu buba nen.|Dan profete: En indien gij de <unk> hebt opgeroepen en ik zal u <unk> noemen|keep row: both source and target contain non numerical text!
5115|Tigri kiri Lodi, a nyan en.|En dood en hij heeft het eten gegeten.|keep row: both source and target contain non numerical text!
5116|Noiti moro wan sma yere noso si wan sani fu Lodi, a bigi ontiman fu Sabaku.|<unk> Niemand hoort of iets van <unk> ls grote natie|keep row: both source and target contain non numerical text!
5117|Dia taki: No wan meti e lon moro mi.|<unk> zei: Geen vlees rent meer.|keep row: both source and target contain non numerical text!
5118|Sekrepatu taki: No wan meti no koni moro mi.|<unk> zei: Geen vlees is niet wijzer dan mij.|keep row: both source and target contain non numerical text!
5119|A tori disi na wan tori di o leri unu taki: Suma no tranga mus koni.|Dit verslag is een onderwerp dat u zal leren zeggen: Wie niet sterk moet prediken|keep row: both source and target contain non numerical text!
5120|Wan dei Sekrepatu go na Dia.|Op een dag en naar <unk>|keep row: both source and target contain non numerical text!
5121|A taki: Mati Dia, kon meki un strei lon.|Hij zei: <unk> is uw eenheid bekendgemaakt|keep row: both source and target contain non numerical text!
5122|Ma un sabi taki Sekrepatu no man lon so bun.|Maar we weten dat <unk> niet zo ' n situatie kan vluchten|keep row: both source and target contain non numerical text!
5123|Ma tog Sekrepatu taigi Dia taki meki den strei lon.|Maar <unk> zei tot <unk> dat de <unk> bekendmaken|keep row: both source and target contain non numerical text!
5124|Dia luku Sekrepatu, a lafu.|<unk> Kijk en de natie|keep row: both source and target contain non numerical text!
5125|Dia prakseri taki na fu soso ai go lasi en ten.|En denk dat alleen hij zijn tijd gaat verliezen.|keep row: both source and target contain non numerical text!
5126|Ma Sekrepatu taki: Dia, na fu di yu e frede yu e taki dat yu o lasi yu ten fu soso?|Maar <unk> zei: En door vrees zegt u dat u uw tijd voor eeuwig zal verliezen|keep row: both source and target contain non numerical text!
5127|Kon meki un strei lon, man.|Laat ons eigen man bekendmaken.|keep row: both source and target contain non numerical text!
5128|Dia denki a tori, a taki: A bun.|En denk aan de situatie en zei: De situatie|keep row: both source and target contain non numerical text!
5129|Tamara un o strei lon.|En gij zult <unk> prediken|keep row: both source and target contain non numerical text!
5130|Den taki dati den o lon wan pasi fu tin kilometer.|Zij zeiden dat zij een weg van tien <unk> zullen vluchten|keep row: both source and target contain non numerical text!
5131|Ala den tra meti o go luku a lon disi.|Alle andere dieren zullen de vlucht zien|keep row: both source and target contain non numerical text!
5132|Den o tnapu na pe a kba pisi fu a lon de, fu si suma fosi o doro.|Zij zullen prediken waar het einde van de vlucht is en te zien wie eerst zal prediken|keep row: both source and target contain non numerical text!
5133|Tamara tin yuru den o strei lon.|<unk> tien uur zullen zij prediken|keep row: both source and target contain non numerical text!
5134|Tigri na a man di o gi den a marki fu bigin.|<unk> is de man die hen het doel van <unk> zal geven|keep row: both source and target contain non numerical text!
5135|A lon bo go so: Ala tu kilometer den bo stop fu dringi pikin watra.|Hij stroomde en beide dagen en zouden kinderen drinken|keep row: both source and target contain non numerical text!
5136|Sekrepatu dyuku en pata, Dia dyuku en pata.|<unk> en zijn organisatie en zijn organisatie|keep row: both source and target contain non numerical text!
5137|Sekrepatu klari, Dia klari.|<unk> <unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
5138|A yuruten Tigri knoru den bigin lon.|De natie <unk>|keep row: both source and target contain non numerical text!
5139|Dia teki wan vaart.|<unk> Neem een natie|keep row: both source and target contain non numerical text!
5140|A pisten di Dia doro na a fosi presi pe den o stop, suma a si drape?|De situatie die in de eerste plaats komt en wie hij zag|keep row: both source and target contain non numerical text!
5141|Sekrepatu.|<unk>|keep row: both source and target contain non numerical text!
5142|Dia aksi Sekrepatu taki: Fa a kan taki yu doro so esi?|<unk> vragen en zeggen: Hoe kan het u zo bereiken|keep row: both source and target contain non numerical text!
5143|Sekrepatu piki taki: Mati, kon meki un strei lon.|<unk> antwoordde: <unk> kom uw eenheid voort|keep row: both source and target contain non numerical text!
5144|Na so ala leisi te den mus stop, Sekrepatu e doro fosi Dia.|Aldus moeten zij altijd prediken en eerst bereiken|keep row: both source and target contain non numerical text!
5145|A pisten di Dia doro na a kba fu a strei, a si Sekrepatu sidon e wakti en.|De natie die aan het einde van de dag aankwam , zag hij en zit hem te wachten|keep row: both source and target contain non numerical text!
5146|Dia no ben man grabu a sani disi.|<unk> was niet in staat <unk> te prediken|keep row: both source and target contain non numerical text!
5147|A ben dangra fu a ferstan.|Hij predikte van de natie|keep row: both source and target contain non numerical text!
5148|Ma un sabi fa Sekrepatu du doro fosi Dia, nanga ala di Sekrepatu no e lon moro Dia?|Maar gij weet hoe <unk> eerst is bereikt en ondanks het feit dat <unk> niet|keep row: both source and target contain non numerical text!
5149|We, Sekrepatu wini a strei so.|<unk> Geef de natie <unk>|keep row: both source and target contain non numerical text!
5150|Na ala den presi pe den musu stop, Sekrepatu poti wan tra sekrepatu.|In alle plaatsen waar zij moeten prediken en een andere natie stellen|keep row: both source and target contain non numerical text!
5151|Na so ala leisi Dia e si a sekrepatu.|Evenzo ziet <unk> de situatie|keep row: both source and target contain non numerical text!
5152|Ma Sekrepatu no lon tin meter srefi.|Maar <unk> vluchtte tien meter <unk>|keep row: both source and target contain non numerical text!
5153|So, suma no tranga mus koni.|En wie niet sterk moet prediken|keep row: both source and target contain non numerical text!
5154|So mi e go ferteri wan pikin tori fu Anansi nanga Kaiman.|Zo ga ik een verhaal over Anansi en <unk> vertellen|keep row: both source and target contain non numerical text!
5155|Anansi na wan man di abi someni triki.|Anansi is een man die zoveel <unk> heeft|keep row: both source and target contain non numerical text!
5156|Anansi prakseri fa ai go kisi den tra meti fu nyan.|Anansi dacht hoe hij de andere dieren van <unk> ontvangt|keep row: both source and target contain non numerical text!
5157|Anansi waka na ini a busipasi.|Anansi liep in de situatie|keep row: both source and target contain non numerical text!
5158|Now Anansi si wan fisi-olo, dan a prakseri taki ai go kisi tu fisi drape.|Nu zag Anansi een situatie en dacht hij dat hij twee <unk> gaat ontvangen|keep row: both source and target contain non numerical text!
5159|Ma di Anansi saka go fu teki a fisi ini a olo, dan a firi wan sani ori en.|Maar toen Anansi neerdaalde om de situatie in de situatie op te nemen en voelde hij hem iets aan de kaak gehouden.|keep row: both source and target contain non numerical text!
5160|San e ori mi?|Wat eenheid houdt|keep row: both source and target contain non numerical text!
5161|Dan a sani piki en taki: Mi na Fringi.|Toen antwoordde hij: Ik ben <unk>|keep row: both source and target contain non numerical text!
5162|Anansi taki: We, dan i fringi mi, no.|Anansi zei: <unk> dan <unk> <unk>|keep row: both source and target contain non numerical text!
5163|Dan a sani fringi Anansi bun fara.|Vervolgens en Anansi is goed|keep row: both source and target contain non numerical text!
5164|Dan di Anansi opo, a prakseri taki: Ai, disi bun.|Toen Anansi en hij eraan herinnerde , zei hij: <unk>|keep row: both source and target contain non numerical text!
5165|Dan now mi e go abi stimofo ala dei.|Nu ga ik <unk> alle <unk> hebben|keep row: both source and target contain non numerical text!
5166|Mi no abi fu go firi fisi moro.|Ik hoeft niet meer te voelen en meer.|keep row: both source and target contain non numerical text!
5167|Di Anansi opo, a suku wantu pisi tiki.|Toen Anansi en hij enkele delen zocht|keep row: both source and target contain non numerical text!
5168|Dan a beri a tiki leti pe a ben fadon.|Vervolgens begraven de staf waar hij predikte|keep row: both source and target contain non numerical text!
5169|Di Anansi e gwe, now a miti nanga Konkoni.|Toen Anansi nu met <unk> aankomt|keep row: both source and target contain non numerical text!
5170|Dan a kari Konkoni taki: Ee, mat' Konkoni, kon yere.|Vervolgens riep hij en zei: <unk> kom <unk>|keep row: both source and target contain non numerical text!
5171|Kon yere, mat' Konkoni.|Komt <unk> <unk>|keep row: both source and target contain non numerical text!
5172|Konkoni taki: Aa, mi waka waka heri dei.|<unk> zei: En ik heb heel <unk> gelopen|keep row: both source and target contain non numerical text!
5173|Mi no feni noti.|Ik heb geen vrede gevonden|keep row: both source and target contain non numerical text!
5174|Mi e go na oso.|Ik ga naar huis gaan.|keep row: both source and target contain non numerical text!
5175|Dan Anansi taigi Konkoni taki: Ee, man, kon go fisi.|Anansi zei tot <unk> en zei: <unk> kom <unk>|keep row: both source and target contain non numerical text!
5176|Dan Konkoni taki: Fisi?|Dan zei hij: <unk>|keep row: both source and target contain non numerical text!
5177|Pe?|<unk>|keep row: both source and target contain non numerical text!
5178|Anansi taki: Kon go man, mi e go sori yu pe.|Anansi zei: Kom en ik ga uw organisatie aan de dag leggen|keep row: both source and target contain non numerical text!
5179|Di den waka na a busikanti, dan den doro pe a olo de.|Toen ze aan de dag gaan, kwamen ze waar de situatie is.|keep row: both source and target contain non numerical text!
5180|Ma Anansi sabi san ben miti en kba.|Maar Anansi weet wat zijn organisatie ontmoette|keep row: both source and target contain non numerical text!
5181|Dus a no go na dati sei, ma a seni Konkoni go.|En hij is er niet mee gaan , maar hij zond <unk>|keep row: both source and target contain non numerical text!
5182|Ma di Konkoni go, Anansi taki: Man, dati sei i mu firi.|Maar toen <unk> Anansi zei: <unk> dat naast u moet prediken|keep row: both source and target contain non numerical text!
5183|Dan Konkoni bigin firi.|Dan begon <unk> te prediken|keep row: both source and target contain non numerical text!
5184|A ten di a bigin, a firi wan anu ori en.|Toen de situatie een arm had gehouden.|keep row: both source and target contain non numerical text!
5185|Dan Konkoni bari gi Anansi: Eee, eee, mat' Anansi, wan sani ori mi!|Dan riep <unk> voor <unk> en <unk> <unk> <unk> <unk> <unk> <unk> <unk>|keep row: both source and target contain non numerical text!
5186|Wan sani ori yu?|E<unk> ding|keep row: both source and target contain non numerical text!
5187|Dan Anansi taigi Konkoni taki: Bari gi en, aksi en san e ori yu?|Anansi zei tot <unk> en zeg hem wat <unk> kookt|keep row: both source and target contain non numerical text!
5188|Dan di Konkoni taki: San ori mi?|Toen <unk> zei: Wat <unk> hield|keep row: both source and target contain non numerical text!
5189|, a sani piki: A Fringi.|De situatie|keep row: both source and target contain non numerical text!
5190|Dan Konkoni bari gi Anansi taki: A taki na Fringi.|Toen riep <unk> tot Anansi op: Hij sprak tot <unk>|keep row: both source and target contain non numerical text!
5191|Dan Anansi taki: Taigi en meki a fringi yu dan.|Anansi zei: En hij heeft de natie <unk> uw organisatie geschapen|keep row: both source and target contain non numerical text!
5192|Dan a fringi Konkoni.|Dan de natie <unk>|keep row: both source and target contain non numerical text!
5193|Dan Konkoni fadon tapu den mofo fu den pispisi tiki, den tiki di Anansi ben poti drape.|Dan viel <unk> op hun mond en de stokken die Anansi <unk> stelde|keep row: both source and target contain non numerical text!
5194|Dan Konkoni kon dede.|Dan kwam <unk>|keep row: both source and target contain non numerical text!
5195|Dan Anansi dyompo, a gwe go teki Konkoni.|Anansi en ging <unk> wegnemen|keep row: both source and target contain non numerical text!
5196|Dan a gwe ini en oso.|Toen ging hij in zijn huis weg.|keep row: both source and target contain non numerical text!
5197|Ala dei Anansi e waka e suku den tra meti e tyari go na a fisi-olo.|Elke dag loopt Anansi de andere dieren naar de natie|keep row: both source and target contain non numerical text!
5198|So Anansi e feni en nyanyan.|Zo vindt Anansi zijn organisatie|keep row: both source and target contain non numerical text!
5199|Ma dan now wan dei Anansi e gwe, a no si no wan meti na pasi.|Maar nu en op een dag zag Anansi geen vlees in <unk>|keep row: both source and target contain non numerical text!
5200|Dan a si mati Kaiman.|Toen zag hij vrienden <unk>|keep row: both source and target contain non numerical text!
5201|A taki: Eee, Kaiman, pe yu e go?|Hij zei: <unk> waar gij predikt|keep row: both source and target contain non numerical text!
5202|Kaiman taki: We, mi e waka waka lontu, luku san de fu nyan.|<unk> zei: En ik wandelt en zie wat voor eeuwig is|keep row: both source and target contain non numerical text!
5203|Dan Anansi taigi en: Ee mati, kon.|Anansi zei tot hem: <unk>|keep row: both source and target contain non numerical text!
5204|Kon un go fisi.|Komt <unk>|keep row: both source and target contain non numerical text!
5205|Di Kaiman nanga Anansi gwe, den doro a busikanti.|Toen <unk> en Anansi aankwamen|keep row: both source and target contain non numerical text!
5206|Dan Anansi seni Kaiman taki: Go fisi na dati sei.|Anansi zond en zei: Ga daar.|keep row: both source and target contain non numerical text!
5207|Dan Kaiman piki en taki: No, yu go na dati sei.|Toen antwoordde hij en zei: En gij zijt daar.|keep row: both source and target contain non numerical text!
5208|Anansi taki: No, mi e tan na disi sei, man.|Anansi zei: En ik blijf hier en man.|keep row: both source and target contain non numerical text!
5209|Go na dati sei.|Ga daar.|keep row: both source and target contain non numerical text!
5210|Kaiman prakseri moi koni, dan a kari Anansi taki: Sori mi sortu sei.|En denk prachtig en riep Anansi en zei: En ik welke kant.|keep row: both source and target contain non numerical text!
5211|Dan di Anansi e sori Kaiman a presi, dan Kaiman sutu a anu fu Anansi gwe na ini a olo.|Toen Anansi aan de dag legde en schoot de hand van Anansi in de situatie weg|keep row: both source and target contain non numerical text!
5212|Bika Kaiman sabi san Anansi ben wani du nanga en.|Want hij weet wat Anansi met hem wilde doen.|keep row: both source and target contain non numerical text!
5213|Kaiman na wan man di e tan na ini watra, dus a sabi ala den fisi-olo.|<unk> is een man die in eenheid blijft en dus weet hij alle <unk>|keep row: both source and target contain non numerical text!
5214|Dan Anansi bari gi Kaiman taki: Wan sani ori mi, man.|Anansi riep tot <unk> en zei: Ik heb <unk> man gehouden.|keep row: both source and target contain non numerical text!
5215|Anansi e seki en anu nomo.|Anansi schudt zijn hand en schudde|keep row: both source and target contain non numerical text!
5216|Kaiman taki: I sabi san i mu bari, tog.|<unk> zei: Je weet wat gij moet prediken|keep row: both source and target contain non numerical text!
5217|Anansi taki: San mi mu bari?|Anansi zei: Wat ik moet prediken|keep row: both source and target contain non numerical text!
5218|Kaiman taki: A fringi.|<unk> zei: De situatie|keep row: both source and target contain non numerical text!
5219|Anansi taki: Wakti, wakti.|Anansi zei: <unk>|keep row: both source and target contain non numerical text!
5220|Lon go na bakasei drape, go puru den pèn gi mi.|En ga naar <unk> en ga de <unk> voor me weghalen.|keep row: both source and target contain non numerical text!
5221|Go now, go now!|Ga <unk> naar <unk>|keep row: both source and target contain non numerical text!
5222|Hm, Kaiman e lafu.|<unk> <unk> <unk> prediken|keep row: both source and target contain non numerical text!
5223|Kaiman taki: San na dati?|<unk> zei: Wat is <unk>|keep row: both source and target contain non numerical text!
5224|Pe den pèn de?|Waar de <unk>|keep row: both source and target contain non numerical text!
5225|Anansi taki: Waka moro fara.|Anansi zei: <unk>|keep row: both source and target contain non numerical text!
5226|Waka moro fara.|<unk> Meer <unk>|keep row: both source and target contain non numerical text!
5227|Di Kaiman doro, a si den pèn.|Toen <unk> de <unk> zag|keep row: both source and target contain non numerical text!
5228|Dan a bari gi Anansi: Ai, mi puru den.|Toen schreeuwde hij voor <unk> en ik haalde ze weg.|keep row: both source and target contain non numerical text!
5229|Anansi taki: I puru den?|Anansi zei: Je hebt <unk> weggenomen|keep row: both source and target contain non numerical text!
5230|A taki: Ai, mi puru den.|Hij zei: En ik heb ze weggehaald|keep row: both source and target contain non numerical text!
5231|Ma Kaiman moro koni, bika a no ben puru den pèn.|Maar <unk> meer vrede omdat hij de <unk> niet heeft weggenomen|keep row: both source and target contain non numerical text!
5232|Anansi bari taki: A fringi.|Anansi riep uit: De situatie|keep row: both source and target contain non numerical text!
5233|Dan a fringi en tu.|Toen predikte zij hem.|keep row: both source and target contain non numerical text!
5234|Dan di Anansi fadon tapu a pèn, so Anansi kon dede.|Toen Anansi op de situatie viel , kwam Anansi bekend|keep row: both source and target contain non numerical text!
5235|Dan Kaiman go now, a ferteri ala den meti san ben psa, fa Anansi ben kiri den trawan.|Dan ging <unk> en vertelde hij alle dieren wat er predikte en hoe Anansi de <unk> doodde|keep row: both source and target contain non numerical text!
5236|Na so a tori fu Anansi nanga Kaiman ben psa.|Zo predikten Anansi en <unk>|keep row: both source and target contain non numerical text!
5237|Wan dei Anansi go sidon hei ini wan makabon e luku ini a dyari fu Asaw.|Op een dag ging Anansi hoog zitten in de tuin van <unk>|keep row: both source and target contain non numerical text!
5238|Asaw ben e tyapu en watramun gron.|<unk> predikte zijn organisatie|keep row: both source and target contain non numerical text!
5239|A ben gersi taki den lepi watramun ben kari Anansi taki: Luku fa unu span èn switi.|Het schijnt dat de <unk> Anansi uitnodigden: Zie hoe gij <unk> zijt .|keep row: both source and target contain non numerical text!
5240|Kon nyan unu, no!|Kom <unk> eten|keep row: both source and target contain non numerical text!
5241|Anansi lobi fu nyan watramun, ma a lesi tumsi fu ensrefi go prani den.|Anansi houdt ervan om te eten en maar de dag van zichzelf is erg gegaan en zij.|keep row: both source and target contain non numerical text!
5242|A son ben opo moi na loktu èn a dei ben kon waran.|De zon opende de dag op en kwam bekend|keep row: both source and target contain non numerical text!
5243|Na so Anansi ben sidon ini a makabon e luku.|Zo zat Anansi in de situatie|keep row: both source and target contain non numerical text!
5244|Di brekten doro a ben faya tumsi fu wroko ini a son, so Asaw poti en tyapu na wan sei dan a go bro pikinso ini en oso.|Toen <unk> aankwam was hij te vurig om in de situatie te werken en hem aan een zijde te zetten , ging hij een beetje in zijn huis.|keep row: both source and target contain non numerical text!
5245|Na disi Anansi ben wakti someni langa.|Dit wachtte Anansi zoveel <unk>|keep row: both source and target contain non numerical text!
