|nl|srn
991|Zo hoefde Anansi geen enkele shuldenaar te betalen.|Na so Anansi no pai no wan fu den paiman.
876|Ja, ik snap het, ik moet je geld lenen.|Ai, m'e ferstan, mi mus fu leni yu sensi.
773|Wat zag hij? Terwijl zij dieper en dieper in het water wegzakte, werd zij tot stof en as.|Ma san a si? Moro a uma e saka go na ondro, at tron soso doti nanga asisi.
1219|Als zij naar het gerechtsgebouw gaan, pleit de advocaat voor de man.|Te den go na krutu-oso, a afkati e taki gi a man.
1126|Als je mijn naam niet kent, moet je alles wat je geoogst hebt achterlaten.|Efu yu no sabi mi nen, yu mu libi ala a nyanyan di yu puru.
4|Het is belangrijk dat u weet wat uw rechten en plichten zijn.|A de prenspari dati yu sabi san na yu leti manga yu prekti.
3051|De dominee draagt vandaag een zwart pak.|Domri e weri wan blaka paki tide.
1595|Die brandvlek op mijn gezicht gaat niet meer weg.|A bronflaka ini mi fesi no e gwe moro.
3124|De politie kreeg een tip waar de dief zich schuil hield.|Skowtu kisi wan pingi pe a fufuruman e kibri.
2311|Zij die niet op eerlijke wijze aan geld aankomen houden ervan om geweldig grote huizen te bouwen.|Den man di e wroko moni wan kruktu fasi lobi fu bow kefalek bigi oso.
3040|Ik wordt al oud.|Mi e owru kba.
3970|De man heeft voor zijn vrouw uitgelopen.|A man waka gi en frow.
2491|Ik ben diep bedroefd.|Mi ati e krei.
3050|De winkelier heeft suiker, maar hij verkoopt maar één pak per persoon.|Omu abi sukru, ma a o seri wan paki nomo gi yu.
1077|Tijger was klaar om te springen.|Tigri ben de so fu dyompo.
837|Ik weet niet hoe ik mijn kinderen te eten moet geven.|Mi no sabi fa mi e go gi den pikin nyanyan.
681|Je wou mij tegenspreken zoals mensen doen.|Yu ben wani krutu nanga mi, neleki fa den sma krutu.
1715|De zon gaat onder.|A son e dongo.
2352|Heb je van de grote moord te Coronie gehoord?|Yu yere fu a bigi kiri na Coronie?
3413|Toen ik laat thuis kwam, gaf mijn vader mij een pakslag.|Di mi kon lati na oso, mi p'pa priti mi skin.
2617|Men moet drie maal per dag eten.|Wan sma mus nyan dri leisi ini wan dei.
2361|Nadat haar man overleden was, is ze mager geworden. Maar langzamerhand wordt ze weer de oude.|Baka di en masra dede, a ben kon mangri. Ma saf'safri a e kisi ensrefi baka.
2197|Vanmorgen heb ik etenswaren in de kast gestopt. Maar toen ik terug kwam was alles verdwenen.|Di mamanten mi poti nyansani ini a kasi. Ma di mi drai baka, dan ala sani gwe.
1148|Maar de koning wist dat niet.|Kownu no ben sabi den sani dati.
3261|Deze man weet goed te praten, maar ik adviseer je om zijn woorden niet aan te nemen.|A man disi e taki switi, ma mi e gi yu a rai fu no teki den sani san a e taki.
574|Maar ze waren mensen die in God geloofden, dus baden ze tot God om hun last een beetje te verlichten.|Ma den ben de bribisma, so den ben e begi ala dei fu Masra sa lekti a hebi disi gi den.
50|u vertellen hoe de procedure verloopt;|ferteri yu fa den sani e waka;
853|Al eten mijn wouw en ik niet, maar wat pap is voor de kinderen.|Wans' un no nyan, ma wan pikin papa gi den pikin.
1982|Zolang ze maar ruzie blijven maken, komt het land niet vooruit.|Solanga den e tan feti, a kondre no e go na fesi.
2774|Verpulver de tablet.|Masi a perki tron puiri.
1823|Dit kind is een jaloers kind.|A pikin disi na wan dyarusu pikin.
833|Ik heb geen rooie cent.|No wan koprosensi.
3425|De boom viel schuins over de straat.|A bon fadon skoinsi abra a strati.
1115|Dan neem je de grote mand en stop je er zoveel eten in als je dragen kan.|Dan yu e teki yu bigi baskita, poti someni nyanyan leki yu kan tyari.
1166|Is het een moeilijke naam?|Na wan hebi nen?
2518|Je kan geen relatie met dat meisje aangaan. Ze is een nauw verwant van je.|Yu no kan hori nanga a pikin dati. Na wan krosbei famiri fu yu.
1906|Als je bij iemand anders op bezoek gaat, moet je niets aanraken.|Te yu go na wan tra sma oso, yu no mu fasi noti.
971|Awari rende uit de boom maar Tijger had hem gevangen.|Awari lon saka kmopo na a bon, ma Tigri fanga en.
2701|Ik klom naar boven.|Mi kren go na loktu.
399|Maar plotseling kwam de wouw eraan die mij grootbracht.|Wante mi si a frow di e kweki mi e kon.
2559|Ze lachten de jongen uit toen hij een gescheurde broek droeg.|Den lafu a boi di a weri wan priti bruku.
2368|De rijst is al gaar.|A aleisi klari kaba.
19|De inschakeling van een Nederlandse advocaat kost u in beginsel niets.|Wan faste regel de taki yu no habi fu pai wan afkati fu Holand.
684|Toen zei God: 'Luister, als ik de man nooit weggehaald had, dan zou iedereen arm blijven tot dat de mam zelf oud en zwak werd.|Gado taki: 'Bika luku, efu mi no ben puru u man na pasi, den bio tan nanga a pina libi fu den te leki a man srefi bo kon swaki.
35|Hij roept voor u een tolk op.|A o kari wan sma san kan poti san yu ne ferstan na ini Sranantongo.
2950|De bruine bonen die buurvrouw vandaag kookte had een heel lekkere geur.|A broin bontyi san birfrow bori tide broko mi noso!
3912|Wat heeft mij er toe gedreven om dit werk aan te nemen?|San trusu mi fu teki a wroko disi?
2875|Het eten dat ik gisteren gekocht had bestond uit verschillende groenten met vlees. Er was bitawiwiri, klarun, gomawiwiri, tajerblad, gerookte vis, zoutvlees, varkensvlees, en zoute vis. Het was lekker!|A nyanyan san mi bai esde ben de wan moksipatu. A ben abi bitawiwiri, klarun, gomawiwiri, tayawiwiri, waranfisi, sowtumeti, agumeti, nanga sowtufisi. A ben switi!
524|Hij was verdwenen.|A ben gwe.
2455|Zeg, wat ben je vandaag mooi gekleed!|Man, yu e koti tide!
920|Zo speelde Anansi het.|Na so Anansi plei a sani.
1841|De mannen hebben me bedrogen met de band die ik heb gekocht.|Den man dyote mi nanga a banti san mi bai.
1890|Als je gelezen heb, moet je nagaan wat goed is en een kruisje zetten in het vakje.|Te yu kba leisi, dan yu mu luku sortu wan fu den bun, dan yu poti wan kroisi ini a faki.
537|De mensen die dit verhaal gehoord hebben, wil ik deze raad geven: Speel liefst helemaal geen kaart,|So den sma di e yere a tori disi mi e begi den: un no prei karta srefsrefi.
2806|We bidden dat God hem zal aanraken.|Wi e begi tak' Gado sa meri en.
1705|De jonge dames van deze tijd dragen graag korte kleding stukken dat hun buik bloot laat.|Den pikin dis'ten lobi weri syatu krosi san e poti den mindribere na doro.
4050|Een week heeft zeven dagen.|Wan wiki abi seibi dei.
3110|Van jongs af begon deze jongen te roken.|Pikinpikin a boi disi bigin smoko.
3247|Twee weken geleden is Norbert weer aan het werk gekomen.|Tu wiki di psa Norbert kon na wroko baka.
245|In beide uitgaven doet De Drie zijn verhaal in het Sranantongo.|Na ini ala tu buku De Drie e ferteri en tori na ini Sranantongo.
3464|Een ieder die zestien jaar geworden is, is verplicht een ID-kaart te maken.|Iniwan sma di tapu tin-na-siksi yari mus fu meki wan ID-karta.
3175|Ze halen geld op om de behoeftigen onder ons te helpen.|Den e piki moni fu yepi den pôtisma na un mindri.
784|Maar nu zie ik dat hij gelijk had.|Ma now mi si taki a abi leti.
1409|Toen ik de dief met een geweer zag, was ik zo bang dat ik begon te beven.|Di mi si a fufuruman nanga wan gon, mi ben frede dat mi bigin e beifi.
2537|Deze persoon weet geen rijst te koken. Ze kookt het altijd slechts half gaar.|A sma disi no sabi bori aleisi. Ala leisi a e kruwa a aleisi.
154|Een advocaat komt zo snel mogelijk om jou advies te geven.|Wan afkati sa kon hesigaw fu gi yu rai.
3009|De wind waaide het raam open.|A winti wai a fensre opo.
1686|Het meisje ligt op bed te lezen.|A meisye e didon tapu a bedi e leisi.
2901|Als de kinderen vier jaar oud zijn, moeten ze naar school.|Te den pikin tapu fo yari, den mus fu go na skoro.
3359|Ik ga je een klap draaien!|M'o seiri yu wan klap!
625|Toen nam de dood hem.|Dan now Dede teki en.
2733|Jozef ging samen met zijn vrouw Maria naar Betlehem. Maar Maria was zwanger.|Yosef teki en wefi Maria fu go nanga en na Betlehem. Ma Maria ben abi bere.
3975|Voorkomen is beter dan genezen.|Dringi dresi wakti siki.
1346|Sinds haar moeder overleden is, is het kind achteruit gegaan op school.|Sensi di en mama dede, a pikin go na baka na skoro.
569|Dus hij moest alles zijn.|So na en srefi ben de ala sani.
4054|Robinhood heeft de strijd gewonnen.|Robinhood wini a strei.
1758|De boot is omgekanteld en daarna gezonken.|A boto drai dan a sungu.
1816|Laat de jongen niet langs gaan. Houd hem voor me tegen.|No meki a boi psa. Dyam en gi mi.
2065|Deze jongen houdt ervan om dat kind bang te maken.|A boi disi lobi fu frede a pikin.
127|Jouw ouders (voogd of verzorgers) mogen je bellen en bezoeken op het politiebureau.|Yu m'ma nanga yu p'pa, noso den sma di e sorgu yu mag kon luku yu, noso den mag fu kari yu na konkrut'tey na skowtu-oso
3394|Toen mijn ogen op dat meisje vielen, bracht zij mijn hoofd helemaal op hol.|Di mi si a pikin, a siki mi.
3327|Wat! De kinderen zijn vandaag vroeg uit school gekomen.|San! Den pikin kmopo fruku tide na skoro.
4109|De peuters zijn buiten aan het spelen.|Den yosyosi e prei na dorosei.
2006|Ik voel me niet zo lekker vandaag.|Mi no firi switi tide.
2975|Die ondeugende jongen van me heeft al weer een glas gebroken.|A ogri boi fu mi broko wan grasi baka.
980|Je transpireert.|Yu e sweti.
2300|Gisteren hebben de jongens tot laat in de avond kawina muziek gespeeld.|Esde den boi prei kawna te lati a neti.
190|Je kunt zelf ook vragen om alleen met je advocaat te praten.|Na fu en w'wan kan taki nanga yu, sondro den tra sma.
1139|De koning gaf hem de pap.|Kownu gi en a papa.
992|Anansi heeft teveel streken.|Anansi abi tumsi streik.
699|Maar dat was niet altijd zo|Ma a no so nomo.
4032|Weeg de kool om te zien hoeveel je moet betalen.|Wegi a koro fu si omeni yu mus pai.
606|HJ ging terug naar God en zei 'Heer, wie moet ik nemen?|A go baka na Masra Gado, a taki: 'Masra, suma yu ben seni mi fu go teki?
180|Als je dit nodig hebt, krijg je hulp van een tolk tijdens het verhoor.|Efu yu abi en fanowdu, wan tolk sa yepi yu fu yu kan taki nanga skowtu, nanga fu den kan taki nanga yu, a tolk e yepi unu fu un man ferstan makandra.
301|Daar hadden ze een oven van cement die gestookt werd met hout.|Dape den man ben abi wan sementi onfu san ben hati nanga udu.
2544|De jongen kreeg een bult op zijn hoofd.|A boi kisi wan kundu tapu en ede.
3822|Hij heeft al voor lange tijd de hik.|Tikotiko hori en wan langa pisten kba.
3837|Je zal me niet kunnen winnen met zwemmen, want ik heb vroeger veel gezwommen.|Yu no man titei mi nanga swen. Mi na owru swenman.
1060|Ik heb hem ook uitgenodigd, zodat ik met hem kan dansen.|Mi kari en tu, meki mi kan dansi nanga en.
3899|Als je de liederen twee keer per dag zingt, moet je ze wel kennen.|Efu yu e singi den singi tu tron wan dei, yu mus kon sabi den.
3977|Mijn oom houdt 's avonds de wacht bij Kersten.|Mi omu e ori wakti te neti na Kersten.
2565|Elke keer als deze jongen komt heeft hij een glimlach op zijn gezicht.|Te a boi disi e waka e kon, ala leisi a abi wan lafufesi.
4117|Toen mijn vader hier kwam, huurden we een auto om de stad te gaan bezichtigen.|Di mi papa kon dya, un yuru wan oto fu go luku a foto.
1069|Nu bereikte het feest zijn hoogtepunt.|A poku kon faya, a kon hot.
2524|God zal onze slechte daden openbaren.|Gado o tyari a kruktudu fu wi kon na doro.
2205|Trek even een kam door het haar van het kind voor me.|Har'hari a wiwiri fu a pikin wan pikinso gi mi.
1243|Als je het kind niet in de gaten houdt, zal het slecht aflopen met haar.|Efu yu no piri ai gi a pikin, sani no o waka bun nanga en.
3243|Heb je gehoord wat er in het land is gebeurd?|Yu yere san psa ini a kondre?
16|Uw advocaat mag ook bij het verhoor aanwezig zijn en u bijstaan.|Yu afkati mag owktu de drape ten den man o yere yu, nanga a mag asisteri yu.
3583|Drie dagen nadat we het zaad gezaaid hadden, begon het te spruiten.|Dri dei baka di un sai den siri, den bigin sproiti.
3120|De oproermakers.|Den pindakasi Dyu.
1215|Deze vrouw maakt nooit haar werk af. Ze doet het maar halfjes.|A frow disi noiti a e kba en wroko. A e libi en af'afu.
546|Als je hoort hoe duur de kamers nu zijn, je zou ze niet kunnen betalen.|Nownow efu yu yere o diri den kamra oso de, hè, bijna yu no man pai.
3587|Kun je wat water voor me klaarzetten om die kleren te spoelen?|Yu kan poti pikinso watra gi mi fu spuru den krosi?
658|Ze zorgde goed voor hen.|A frow e sorgu bun gi den.
3736|Deze vrouwen bekvechten de hele dag.|Heri dei den tu frow disi e hari taki nanga makandra.
3067|De bosnegers houden ervan om hun pagaaien te versieren.|Den busnengre lobi fu moimoi den pari.
3779|Onze Vader die in de hemel zijt...|Wi Tata na hemel ...
1504|Wie kaatst, moet de bal terug verwachten.|Te yu naki kapa lasi, yu sa yere boriman tongo.
959|Ik zie een kalabas met kokosnootwater.|Mi si wan krabasi nanga krontowatra.
2926|Alle bosdieren eten kassave, maar het konijn is de zondebok.|Ala bus'meti e nyan kasaba, ma konkoni e tyari nen.
2331|Alles dat verborgen is, zal aan het licht komen.|Ala sani san kibri, o kon na doro.
3680|Een van de achterbanden van de wagen is gesprongen.|Wan fu den baka banti fu a wagi sutu.
797|U weet wat slim zijn betekent.|Yu sabi san wani taki koni.
3348|Aan welke kant van de straat woon je?|Sortu sei fu a pasi yu e tan?
225|Als Grondwetscommissielid pleitte hij in 1975 in een minderheidsrapport voor een flexibele Raamwet|Leki memre fu a Grondwetscommissie, makandra nanga wan tu trawan, a ben taki fu wan flexibele Raamwet na ini 1975.
2074|Toen ik onverwachts het huis binnenkwam, trof ik ze vrijend in bed aan.|Di mi broko kon ini a oso, mi kon miti den didon e freiri.
3354|Ik ga onder de boom naast het huis zitten.|Mi e go sidon ondro a bon sei a oso.
1799|De overheid heeft de oudedags voorzienings gelden verminderd.|Lanti dropu a moni di den e gi den bigisma.
2485|De zon is fel vandaag.|A son krasi tide.
562|U kan niet lopen.|Yu no man waka.
3436|Als men klaar is met bouwen, zullen ze het hele erf omschutten.|Te den kba bow a oso, den o skotu a heri dyari lontu.
2277|Op feesdagen schieten ze kanonen af op Fort Zeelandia.|Tapu den feestedei den e lusu kanu na Fort Zeelandia.
2085|Ernie is verkouden, daarom is hij vandaag niet aan het werk gekomen.|Ernie abi frikowtu, dat' meki a no kon na wroko tide.
1693|De president moet het volk dienen, maar deze man zoekt alleen zijn eigen voordeel.|A president mus dini a folku, ma a man disi e suku en eigi bun nomo.
2797|Mijn bromfiets had geen benzine. Daarom kon ik gisteren niet komen.|Mi brom no ben abi oli. Dat' meki mi no ben man kon esde.
1045|Als die mannen komen, hoef je niet te wanhopen.|Efu den man dati kon, yu no abi fu lasi ati.
3446|Toen Ernest niet wilde doen wat Robby zei, boezemde Robby hem angst in door te zeggen dat hij zijn vrouw op de hoogde zou stellen.|Di Ernest no ben wani du san Robby taki, Robby tapu skreki gi en tak' a o taigi en frow.
469|Leken de slaven net op matrozen.|Den srafu ben de leki wan sortu matrosi.
954|Je hebt mij wel eens geholpen.|Yu puru mi na nowtu.
459|De plantagedirecteoren moesten het werk controleren.|Den pranasi driktoro musu ben luku fa a wroko e go.
2735|Vroeger maaide men de velden met een sikkel, maar nu doet men het met een combine.|Fosi den ben mai den gron nanga babun-nefi, ma now den e du en nanga combine.
3984|Geef me tien broden, maar niet die aangebrande, hoor!|Gi mi tin brede, ma no gi mi den bron wan, yèrè!
639|Ze schudde haar hoofd en zei: 'Mevrouw, ik heb geen goede boodschap voor u.|"A seki en ede, a taki: ""Frow, mi no abi no wan bun boskopu gi yu, yere."
3967|Hoe is de situatie nu?|Fa a tori dati e waka now?
1218|Ik heb een kleine eenvoudige woning gevonden om te blijven.|Mi feni wan pikin afdaki fu sutu mi ede.
1158|Hij is stout, niet waar?|Tye, a boi stout, no?
1415|Het is zo benauwd dat ik ervan zweet.|A benawtu sote taki mi e broko sweti.
3891|Iedereen weet dat Anansi vol streken zit.|Ala sma sabi tak' Anansi lai triki.
1527|Ik zal een bos kouseband kopen.|Mi o bai wan bosu kowsbanti.
4039|Vrijdagavond trekken de jongelui hun mooiste kleren aan om naar de stad te gaan.|Freida neti ala den yongusma e weri den moi krosi go na foto.
1300|Ik zal het aan dat meisje niet zeggen. Je weet toch hoe brutaal ze is!|Mi no e go taigi a meisye dati. I sabi fa en mofo asranti!
3962|Omdat ik te lang in de zon heb gestaan, voel ik me draaierig.|Fa mi tnapu tumsi langa ini a son, dan ala mi ede waiwai now.
2848|Omdat de jongen gedaan had wat zijn vader hem verboden had, schaamde hij zich om terug naar huis te gaan.|Fa a boi psa en p'pa mofo, a ben syen fu go baka na oso.
1603|Als je niet wil komen, ga ik de boebelaas roepen. Kijk, hier komt de boebelaas! Boe!|Efu yu no wani kon, mi o kari bubu gi yu. Luku, bubu e kon! Bubu!
160|Als je bent aangehouden door de politie dan is een advocaat meestal gratis.|Efu skowtu brey yu hori, dan yu no abi fu pai gi a afkati.
1704|Deze week zal ik komen.|Dis' wiki mi o kon.
956|Zeg niets.|No taki noti.
3234|Scheur een stuk papier voor me af.|Priti wan pisi papira gi mi.
2869|Deze medicijn moet je met een beetje water vermengen.|A dresi disi yu mus moksi nanga pikinso watra.
4027|Slechts deze weg alleen gaat naar Albina.|Na a pasi disi wawan e go na Albina.
877|Maar houd me niet voor de gek, en haal geen schurkenstreken met me uit.|Ma no kon plei mi, no kon meki skorku streik nanga mi.
1919|Deze jongen houdt ervan om grappen te maken.|A boi disi e prati soso fatu.
2961|Hij genoot zijn vakantie in Nederland.|A nyan fakansi na bakrakondre.
1884|Aangezien morgen een feestdag is, hebben ze de schooltijd gewijzigd.|Fa tamara na wan feeste dei, den man kenki a skoro yuru.
2200|We zijn niet gewoon om rijst met een vork te eten.|Un no abi a gwenti fu nyan aleisi nanga wan forku.
98|De politie moet een advocaat voor jou regelen. De advocaat werkt altijd alleen voor jou en is niet van de politie.|Sortu 'rechten' yu abi, sobun sortu leti?
3909|Hij heeft de waarheid gesproken. Hij liegt niet.|Na wan tru sani a man taki. A no lei.
2557|De jongens staan op de hoek te lachen.|Den boi e tnapu tapu a uku e lafu.
3183|Toen ik televisie zat te kijken, kwam het plotseling in mijn gedachten op om mijn oom te bellen.|Di mi ben sidon luku teevee, nomo a kon ini mi prakseri fu bèl mi omu.
3298|Een moeder voedt haar kinderen met een liefdevol hart op.|Wan mama e kweki den pikin nanga wan safu ati.
253|In veel theaterproducties trad hij vaak zelf op als acteur.|Te a ben seti den prey, furu leysi ensrefi ben prey wan pkin pisi leki komediman.
103|In dit informatieblad staat welke rechten uw kind heeft tijdens het politieonderzoek.|A kantoro disi sa kibri ala yu tori fu langa gi yu afkati.
1445|Wat de directeur besloten heeft, kan men niet meer veranderen|San driktoro besroiti, sma no man kenki moro.
1443|Deze man is besneden op dokters advies.|A man disi besnei fu di na datra ben wani.
1648|De jongens zeiden dat ze morgen terug zullen komen.|Den boi taki dati den o kon tamara baka.
586|Wat zag hij? De man had 2 sneetjes brood klaargezet voor de kinderen om mee naar school te nemen.|San a si? A si fa a masra ben poti tu pisi brede gi den pikin fu den go na skoro.
627|Zo is het bij ons mensen.|Dati na wi libisma.
1696|Als Syori beschuit eet, doopt hij het in zijn thee.|Te Syori e nyan en buskutu, a e dipi en ini en fayawatra.
3191|Hij heeft me de belofte gegeven dat hij vroeg thuis zou komen.|A gi mi a pramisi tak' a o kon fruku na oso.
2101|een verroeste fiets|wan frustu baisigri
2199|Arme André. Hij is er niet meer.|Pôti André, a gwe.
403|Nu heb je geen twee en een half centstuk meer.|Now wi no abi bigi sensi moro.
1154|Waar komt zoveel water vandaan?|Pe ala a watra kmopo?
2255|Geef het kind een metalen kan. Anders kan ze het glas breken.|Teki a isri kan gi a pikin. A o broko a grasi wan.
2863|'s Avonds zit oma met buurvrouw voor de deur te babbelen.|Te neti mi granmama e sidon na mofodoro e taki tori nanga birfrow.
1682|Toen ik je gisteren kwam opzoeken, was je er niet.|Di mi ben kon suku yu esde, yu no ben de.
3170|Die twee mensen zijn uit elkaar gegaan.|Den tu sma pori.
3881|De koppigheid van deze jongen loopt nu de spuigaten uit. Hij moet een stevig pakslag krijgen om hem tot bezinning te brengen.|A trangayesi fu a boi kon moro mofo. A mus kisi wan bun fonfon meki en ferstan kon ini en ede.
2056|Ik heb Robby gezegd hoe hij het erf moest schoonmaken. Maar hij heeft het slechts vluchtig gedaan.|Mi taigi Robby fa fu krin a prasi, ma a du en frafra nomo.
3062|Vanavond zal ik een slaapmat spreiden voor de kinderen, zodat ze erop kunnen slapen.|Tide neti mi o bradi wan papaya gi den pikin, meki den kan sribi.
3933|Je biedt mensen geen dingen aan in een kopje dat een inkeping heeft.|Yu no e pristeri sma sani ini wan kopi san abi wan tyepi.
3108|Ik kan je niet zo goed begrijpen. Kan je me het uitleggen?|Mi no e ferstan a tori so bun. I kan broko en gi mi na pikin moni?
452|Van verscheidene zin alleen de namen overgebleven.|Wantu fu den pranasi no de moro, wi e yere den nen soso.
3723|Bind de hond vast met de ketting, zodat hij niet op straat gaat.|Tai a dagu na a keti, meki a no lon go na strati.
2301|Het pad eindigt hier.|A pasi kba dya.
1327|Mens, ik kan niet slapen. De hele nacht maken ze kabaal.|Man, mi no man sribi. Heri neti den e meki babari.
2944|Toen hij echter begon te praten, werd de andere boos.|Nomo di a bigin taki, a trawan ati bron.
2049|Vouw de kleren netjes op voordat je ze in de kast zet.|Fow den krosi moi fosi yu poti den ini a kasi.
880|Neen hoor, je kan je geld komen halenh.|Nono nono, yu kan kon teki yu moni baka.
3643|Ik houd niet van deze jongen. Het is een dwingerig kind.|Mi no lobi a boi disi. Na wan stowtu pikin.
4033|Toen ze me vroegen om naar Galibi te gaan, overwoog ik goed voordat ik hen antwoordde.|Di den aksi mi fu go na Galibi, mi wegi go wegi kon bun fosi mi piki den.
623|Dat was kwaadwilligheid dat de dood deze man nam.|Dati na ogri-ati fu Dede fu kon teki a man disi.
2393|Ik ben bang om door hem aangeraakt te worden met zijn door lepra misvormde vingers.|Mi frede fu a fasi mi nanga den kokobe anu fu en.
3829|De moeder zei aan de kinderen om stil te blijven zodat ze kon horen wat er door de radio omgeroepen werd.|A m'ma bari den pikin fu den tan tiri fu a kan yere san den e taki na radio.
1787|Schuif een beetje op, laat me naast je zitten.|Dribi pikinso, meki mi sidon na yu sei.
262|Ze studeerde geschiedenis in Panama, was van 2014 tot en met 2018 opleidingscoördinator geschiedenis aan het Instituut voor de Opleiding van Leraren en vanaf 1983 betrokken bij de curriculumontwikkeling voor het geschiedenisonderwijs.|A stuka historija na Panama, fu 2014 te kon miti 2018 a ben de edeman fu a historija tetey na Instituut voor de Opleiding van Leraren. Sensi a yari 1983 a gi wan anu fu seti a pototo fu a historija prati leri na skoro.
1634|Er was eten in overvloed.|Nyanyan ben de fu naki dagu.
3369|Hoe kun je zo'n kleine jongen naar de stad sturen met zoveel geld?|Fa yu kan seni so wan pikin boi go na foto nanga someni moni?
1438|In Trinidad bouwt men huizen zelfs tegen de berghelling op.|Ini Trinidad den sma e bow den oso tapu a bergiskin srefi.
2198|Mijn broeder is sinds vanmorgen weg.|Sensi mamanten mi brada gwe.
1969|Toen zijn moeder hem zei dat hij niet naar buiten mocht, zette hij een boos gezicht op.|Di en m'ma taigi en tak' a no e go na doro, a swa en fesi.
2520|De regering is momenteel in beraad met de mensen van Surland hoe ze kunnen voorkomen dat het bedrijf gesloten wordt.|Nownow lanti nanga den man fu Surland e kruderi san den kan du fu no tapu a wrokopresi.
1802|Toen de soldaten begonnen te schieten, dook iedereen weg onder de tafels.|Di den srudati bigin sutu, ala sma dukrun ondro den tafra.
640|Uw man is dood.|Yu masra dede.
4115|Hoe laat is het?|San na a yuru?
2385|Doe die kooi dicht, anders gaan die buidelratten de kippen opeten.|Tapu a koi, noso awari o nyan den fowru.
2598|Nini Harpal heeft de wedstrijd tegen Jozefzoon verloren.|Nini Harpal lasi a feti fu en nanga Yozefzoon.
3913|Neem het mee zodat men kan zien als het echt goud is.|Tyari en kon meki den man si efu na trutru gowtu.
1959|Zo'n kleine jongen heeft geen verstand.|Sowan pikin boi no abi ferstan.
2976|Als je 's avonds naar de stad gaat, moet je oppassen voor de slechte jongens.|Te yu e go neti na foto, yu mu luku bun nanga den ogri boi.
488|Op een zaterdag macht waren ze weer druk aan 't kaarten.|We, wan satra neti di den man de baka fu prei karta.
1843|Milka is een stil kind. Ze gaat niet om met onrustige mensen.|Milka na wan tiri pikin. A no e makandra nanga dyugudyugu sma.
1734|Vanwege de regen is de samenkomst niet doorgegaan.|Fa alen kon dan a konmakandra no go doro.
2911|Moeder naait kleren voor al haar kinderen.|Mama e nai krosi gi ala en pikin.
3219|De hamer moet ergens zijn. Ik heb het gisteren hier gezet.|A ambra mus de wan presi. Mi ben poti en dya esde.
146|Zeg dat dan tegen je advocaat of de politie.|Taigi yu afkati noso den skowtu.
1534|Het kind zit op haar moeders schoot.|A pikin sidon tapu en mama bowtu.
1986|Het kind is een vechtersbaas. Ze houdt van vechten.|A pikin na wan fetibakru. A lobi feti.
1369|Jongen, je kunt niet aan het werk komen hoe laat je maar wilt. Het is hier geen janboel.|Boi, i no kan kon olati yu wani na wroko. Dya a no wan bakba wenkri.
2450|Vroeger oogstte men rijst met de hand, maar nu doen ze het met een combine.|Fosi den ben koti aleisi nanga anu, ma now den e koti en nanga combine.
4061|Als we zo blijven vechten, zullen we elkaar uitroeien|Efu wi e tan feti so doro, wi o kiri wisrefi.
3002|Als je de motor niet onderhoud, zal hij snel kapot raken.|Efu yu no ondrow a masyin, a o broko es'esi.
2811|Alle dieren in het bos eten kassave, maar het konijn is de zondebok.|Ala den meti fu a busi e nyan kasaba, ma konkoni e tyari nen.
659|Twee keer in de week gingen ze naar hun moeder die in het ziekenhuis lag.|Tu tron na wan wiki den go luku den mama na ati-oso.
1794|Ik heb geen korrel rijst meer.|Mi no abi no wan dropu aleisi moro.
3420|Vroeger was er een stenen kookplaats tegen de wand van de keuken aangebouwd.|Fosi wan brantmiri ben fasi na sei a kukruskin.
2511|Sedert hij het ongeluk gehad heeft, loopt hij met twee krukken.|Sensi di a kisi a mankeri, a e waka nanga tu kroku.
3397|Dit kind sukkelt vanaf de geboorte.|Sensi a pikin disi gebore, a e sikisiki.
186|aan jou vragen of je begrijpt wat er gezegd wordt;|aksi yu efu yu grabu noso yu ferstan san den skowtu taki;
1147|Als een baby een nate luier heeft moet je hem een andere aandoen.|Te wan baby nati, yu mu weri wan tra krin pisduku gi en.
3272|Ik ga een beetje rusten.|Mi o rostu pikinso.
608|"De dood haalde zijn schouders op als om te zeggen: ""Ik begrijp God niet, hoor, maar ik zal het doen."|Dede hari en skowru, dati wani taki: 'Mi no e ferstan Gado now, yere, ma mi sa du en.
2191|Je moet de kleren goed schrobben om ze schoon te krijgen.|I mu gruma den krosi bun meki den kon krin.
2799|Waarom zijn jouw mensen zo laat gekomen?|San meki den sma fu yu kon so lati?
3582|Deze jongen heeft geen respect. Hij houd ouderen voor de gek.|A boi disi no abi lespeki. A e ori bigi bigi sma na spotu.
1930|Ik ben boos op je.|Mi ati e faya nanga yu.
3029|Pak de dief voor me.|Hori a fufuruman gi mi.
197|Vertrouwenspersoon aanwezig bij verhoor|Wan sma san yu e furtrow de na a verhoor
3681|Je hebt hier niets te zoeken. Stop je handen in je zakken.|Yu no abi noti fu suku dya. Sutu yu anu ini yu saka.
2931|De soldaten waren drie dagen en twee nachten in het bos verdwaald.|Den srudati lasi dri dei nanga tu neti ini a busi.
2327|Laat de kinderen niet al het eten opmaken. Bewaar een beetje voor me.|No meki den pikin nyan ala a nyanyan. Kibri pikinso gi mi.
293|Wanneer je de eieren in de prapi gedaan hebt, zoals ik al zei, en je hebt er suiker en essence bij gedaan, dan ga je drillen.|Te yu poti sukru, poti essence, ala sani gi en dan yu e dril en te a kon deki moi.
